Kh_over_J2,q4
0.1,0.3560579466117109
0.3,0.2936458083413852
0.5,0.23185355286570242
0.7,0.20029361019980502
0.8999999999999999,0.16959986053504833
1.1,0.15420143955387083
1.3,0.14052689766313414
1.5000000000000002,0.15270173489894853
1.7000000000000002,0.1836850034635689
1.9,0.21112447930919287
2.1,0.2440532781592034
2.3000000000000003,0.27813154591800593
2.5,0.30795129823557327
2.7,0.34644145985653946
2.9000000000000004,0.3857721670020941
3.1,0.4311216217787555
3.3000000000000003,0.460604048893819
3.5000000000000004,0.47092144213825754
3.7,0.478101186327722
3.9000000000000004,0.4906739444804411
4.1000000000000005,0.4910088785064926
4.3,0.49441887998950057
4.5,0.49703471458395676
4.7,0.49405671202191315
4.9,0.5009171013619097
5.1,0.49788770786245956
5.300000000000001,0.49806642361702913
5.5,0.5033038373470898
5.700000000000001,0.4961383770971162
5.8999999999999995,0.5002730696093997
6.1,0.5034272887032663
6.3,0.4974916375512757
6.5,0.501285515609003
6.7,0.4999212398095026
6.9,0.5000969800995297
7.1000000000000005,0.5034125087723759
7.3,0.4965541725487168
7.5,0.5005540556419815
7.7,0.5044192220026449
7.9,0.49697381752242253
8.100000000000001,0.5001727898870433
8.3,0.5019022730968576
8.5,0.4995600490541131
8.7,0.5014938150471913
8.9,0.4979189632102978
9.1,0.5007226146304332
9.3,0.5035651690197185
9.5,0.49637300353698144
9.7,0.5000327905121181
9.9,0.5033835274894186
